id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
196,2175,179.77,40.152,243,113,248,312.03,64,87,82.7,33.5,124.5,0.281,96.4,390993,173,0.204,-1.392,0.32,2168,1.152,184,0.14,141,171,218,1,1,0,3.519,3.637,3,3,298,2953,17.732,2.873,1384,2.44117647058824,135,-6,29.6296296296296,0.143911439114391,0.044280442804428,3.25,3.75903614457831,86.7639856430913,-0.00276752767527675
197,858,181.53,46.591,239,93,243,187.58,38,66,60.6,18,70.3,0.306,71.2,155752,186,-0.229,-1.349,0,858,1.087,80,0.055,139,185,226,1,1,0,4.424,4.59,4,4,204,1158,2.069,2.423,546,3.38888888888889,150,-1,31.3333333333333,0.219114219114219,0.0827505827505828,2.64788732394366,3.08196721311475,56.7470841427377,-0.00116550116550117
198,1086,193.266114180479,35.3554445451881,242,110,248,236.492424049175,80,29,68.2579177620794,20.2575494670387,168.380445590525,0.244008650819972,81.3941029804985,209887,195,-0.126891625702914,-1.27000298980259,0.368324125230203,1082,1.11813241891786,154,0.0801159883995415,162,194,227,1,1,1,4.46961325966851,4.54834254143646,3.80807453416149,3.89813664596273,214,1458,3.43095703125,1.92238503766704,690,3.4,138,-1,25.3623188405797,0.2181146025878,0.0748613678373383,2.91358024691358,3.47058823529412,57.1294664064564,-9.24214417744917e-4
199,3891,182.6,40.063,242,80,247,551.25,124,77,106.8,46.4,163.6,0.161,126.3,710497,176,0.022,-1.235,0.18,3884,1.223,399,0.243,147,175,222,4,1,0,3.598,3.709,3,3,398,5682,44.169,2.226,2476,2.32608695652174,167,-1,23.9520958083832,0.141864057672503,0.0324407826982492,4.37301587301587,5.14953271028037,88.903066422898,-2.57466529351184e-4
200,22461,162.39,46.835,154,55,254,1059.24,129,312,289.6,98.7,91.6,0.252,312.5,3647444,163,-0.195,-0.685,0.93,22253,1.164,1044,0.912,132,161,196,8,10,0,3.458,3.462,3,3,878,29070,123.994,2.361,169.110122152095,2.92929292929293,199,10,23.6180904522613,7.09907355710333,2.09821531952157,3.38338658146965,3.65172413793103,0.24934835746779,0.0670356332115517
281,7435,205.19,28.441,218,85,251,603.19,124,111,109.8,86.2,54.6,0.257,132.3,1525621,212,-1.417,2.125,0.58,7392,1.211,641,0.643,194,211,221,6,11,0,2.359,2.409,2,2,466,9587,49.184,2.203,4732,1.27906976744186,166,-1,16.8674698795181,0.0815746753246753,0.0178571428571429,4.56818181818182,5.48181818181818,154.560085825862,-1.35281385281385e-4
282,790,195.19,42.099,243,95,248,184.79,54,32,44.9,22.4,10.8,0.291,59.2,154202,211,-0.737,-0.726,0.38,787,1.11,94,0.057,159,209,229,1,1,0,2.966,3.111,2,2,168,1316,1.972,2.875,31.7152840179743,2.04545454545455,153,0,27.4509803921569,6.59453780364555,2.10312286710858,3.13559322033898,4.11111111111111,0.288962269496002,0
283,1833,219.59,12.666,217,153,243,327.06,80,110,94.3,24.8,59.2,0.215,125.9,402501,220,-0.726,1.76,0,1833,1.155,138,0.22,211,219,227,2,7,0,6.893,6.46,8,8,376,3884,3.331,2.39,1166,3.76,90,4,14.4444444444444,0.178396072013093,0.0687397708674304,2.5952380952381,3.47872340425532,70.8743302649857,0.00218221494817239
284,1256,235.9,7.636,243,195,250,569.88,73,59,47.2,33.9,151.6,0.049,74.4,296292,238,-1.553,3.088,4.3,1202,1.307,448,0.245,231,237,240,1,4,0,4.188,4.309,4,4,260,2506,143.913,3.273,39.9898595669873,1.38235294117647,55,0,14.5454545454545,16.4407877193262,2.13441805478972,7.7027027027027,12.1276595744681,0.0464905431777769,0
285,1703,200.24,30.922,241,109,243,283.46,92,51,90.6,23.9,156.3,0.266,99.8,341002,204,-0.644,-0.266,0,1703,1.151,148,0.123,181,203,226,2,2,0,4.419,4.336,5,5,282,2436,5.769,2.479,1084,3.79166666666667,134,2,23.134328358209,0.166177334116265,0.0587199060481503,2.83,3.10989010989011,76.1584667482337,0.00117439812096301
286,13317,208.19,14.194,215,159,243,548.18,169,137,155,109.4,18.6,0.557,169.9,2772473,210,-0.346,0.196,0,13317,1.08,545,1.527,199,209,216,4,8,0,2.433,2.401,2,2,608,14815,21.927,2.387,130.214173641882,1.42201834862385,84,1,16.6666666666667,4.74872870037133,1.47314576471373,3.22352941176471,3.53548387096774,0.557256504979691,0.0086655633218455
